source,target,weight,edge_types
B0007,B0612,0.7,"partner,region"
B0007,B0631,0.5,partner
B0007,B0632,0.5,partner
B0007,B0633,0.7,"partner,region"
B0007,B0635,0.5,partner
B0007,B0637,0.7,"partner,region"
B0007,B0645,0.5,partner
B0007,B0646,0.5,partner
B0007,B0651,0.7,"partner,region"
B0007,B0691,0.5,partner
B0007,B0695,0.5,partner
B0007,B0703,0.7,"partner,region"
B0007,B0704,0.5,partner
B0007,B0713,0.5,partner
B0007,B0714,0.5,partner
B0007,B0717,0.5,partner
B0007,B0727,0.5,partner
B0007,B0732,0.5,partner
B0007,B0733,0.5,partner
B0007,B0734,0.7,"partner,region"
B0007,B0749,0.7,"partner,region"
B0007,B0754,0.5,partner
B0007,B0762,0.7,"partner,region"
B0007,B0778,0.5,partner
B0007,B0779,0.5,partner
B0007,B0784,0.5,partner
B0007,B0787,0.5,partner
B0007,B0790,0.5,partner
B0007,B0798,0.5,partner
B0007,B0802,0.7,"partner,region"
B0007,B0805,0.5,partner
B0007,B0810,0.7,"partner,region"
B0007,B0825,0.5,partner
B0007,B0827,0.7,"partner,region"
B0007,B0831,0.5,partner
B0007,B0837,0.5,partner
B0007,B0844,0.5,partner
B0007,B0855,0.5,partner
B0007,B0858,0.5,partner
B0007,B0863,0.5,partner
B0007,B0869,0.5,partner
B0007,B0875,0.5,partner
B0007,B0905,0.5,partner
B0007,B0915,0.5,partner
B0007,B0916,0.5,partner
B0007,B0927,0.5,partner
B0007,B0931,0.7,"partner,region"
B0007,B0935,0.5,partner
B0007,B0936,0.5,partner
B0007,B0946,0.5,partner
B0007,B0966,0.7,"partner,region"
B0007,B0969,0.5,partner
B0007,B0975,0.5,partner
B0007,B0976,0.5,partner
B0007,B0977,0.7,"partner,region"
B0007,B0978,0.7,"partner,region"
B0007,B0982,0.5,partner
B0007,B0983,0.5,partner
B0007,B0985,0.5,partner
B0007,B0987,0.7,"partner,region"
B0007,B0988,0.7,"partner,region"
B0007,B0993,0.5,partner
B0007,B0996,0.5,partner
B0007,B1002,0.5,partner
B0007,B1005,0.5,partner
B0007,B1007,0.7,"partner,region"
B0007,B1010,0.7,"partner,region"
B0007,B1017,0.5,partner
B0007,B1019,0.5,partner
B0007,B1025,0.5,partner
B0007,B1036,0.5,partner
B0007,B1037,0.5,partner
B0007,B1038,0.7,"partner,region"
B0007,B1039,0.5,partner
B0007,B1041,0.7,"partner,region"
B0007,B1044,0.5,partner
B0007,B1046,0.5,partner
B0007,B1049,0.7,"partner,region"
B0007,B1050,0.5,partner
B0007,B1058,0.7,"partner,region"
B0007,B1062,0.5,partner
B0007,B1069,0.5,partner
B0007,B1090,0.5,partner
B0007,B1104,0.5,partner
B0007,B1109,0.5,partner
B0007,B1137,0.5,partner
B0007,B1144,0.7,"partner,region"
B0007,B1147,0.5,partner
B0007,B1152,0.7,"partner,region"
B0007,B1154,0.7,"partner,region"
B0007,B1156,0.5,partner
B0007,B1168,0.7,"partner,region"
B0007,B1169,0.7,"partner,region"
B0007,B1173,0.5,partner
B0007,B1176,0.5,partner
B0007,B1180,0.5,partner
B0007,B1182,0.5,partner
B0007,B1186,0.5,partner
B0007,B1187,0.5,partner
B0007,B1190,0.5,partner
B0007,B1198,0.7,"partner,region"
B0007,B1208,0.5,partner
B0007,B1209,0.5,partner
B0007,B1211,0.5,partner
B0007,B1232,0.5,partner
B0007,B1234,0.5,partner
B0007,B1244,0.5,partner
B0007,B1245,0.5,partner
B0007,B1250,0.5,partner
B0007,B1253,0.5,partner
B0007,B1256,0.5,partner
B0007,B1266,0.5,partner
B0007,B1286,0.5,partner
B0007,B1288,0.5,partner
B0007,B1294,0.7,"partner,region"
B0007,B1299,0.7,"partner,region"
B0007,B1301,0.5,partner
B0007,B1317,0.7,"partner,region"
B0007,B1319,0.5,partner
B0007,B1321,0.7,"partner,region"
B0007,B1322,0.5,partner
B0007,B1325,0.5,partner
B0007,B1328,0.5,partner
B0007,B1330,0.5,partner
B0007,B1333,0.5,partner
B0007,B1340,0.5,partner
B0007,B1342,0.5,partner
B0007,B1351,0.7,"partner,region"
B0007,B1354,0.7,"partner,region"
B0007,B1369,0.7,"partner,region"
B0007,B1377,0.7,"partner,region"
B0007,B1380,0.5,partner
B0007,B1393,0.5,partner
B0007,B1406,0.5,partner
B0007,B1410,0.5,partner
B0007,B1415,0.5,partner
B0007,B1416,0.5,partner
B0007,B1417,0.5,partner
B0007,B1424,0.5,partner
B0007,B1426,0.5,partner
B0007,B1438,0.5,partner
B0007,B1455,0.7,"partner,region"
B0007,B1458,0.5,partner
B0007,B1476,0.5,partner
B0007,B1478,0.7,"partner,region"
B0007,B1482,0.5,partner
B0007,B1483,0.7,"partner,region"
B0007,B1486,0.5,partner
B0007,B1491,0.5,partner
B0007,B1500,0.7,"partner,region"
B0007,B1506,0.5,partner
B0007,B1515,0.7,"partner,region"
B0007,B1524,0.5,partner
B0007,B1527,0.5,partner
B0007,B1542,0.5,partner
B0007,B1545,0.7,"partner,region"
B0007,B1547,0.5,partner
B0007,B1553,0.7,"partner,region"
B0007,B1554,0.5,partner
B0007,B1556,0.5,partner
B0007,B1561,0.5,partner
B0007,B1566,0.5,partner
B0007,B1570,0.7,"partner,region"
B0007,B1571,0.5,partner
B0007,B1575,0.5,partner
B0007,B1579,0.5,partner
B0007,B1590,0.5,partner
B0007,B1591,0.5,partner
B0007,B1592,0.7,"partner,region"
B0007,B1596,0.5,partner
B0007,B1597,0.7,"partner,region"
B0007,B1603,0.5,partner
B0007,B1604,0.5,partner
B0007,B1605,0.5,partner
B0007,B1607,0.5,partner
B0007,B1610,0.7,"partner,region"
B0007,B1612,0.7,"partner,region"
B0007,B1629,0.5,partner
B0007,B1632,0.5,partner
B0007,B1647,0.5,partner
B0007,B1654,0.5,partner
B0007,B1657,0.7,"partner,region"
B0007,B1664,0.7,"partner,region"
B0007,B1671,0.5,partner
B0007,B1677,0.7,"partner,region"
B0007,B1679,0.5,partner
B0007,B1680,0.5,partner
B0007,B1682,0.5,partner
B0007,B1689,0.5,partner
B0007,B1696,0.5,partner
B0007,B1698,0.7,"partner,region"
B0007,B1705,0.5,partner
B0007,B1707,0.7,"partner,region"
B0007,B1719,0.5,partner
B0007,B1720,0.5,partner
B0007,B1723,0.5,partner
B0007,B1727,0.7,"partner,region"
B0007,B1731,0.5,partner
B0007,B1750,0.5,partner
B0007,B1751,0.5,partner
B0007,B1752,0.5,partner
B0007,B1755,0.7,"partner,region"
B0007,B1757,0.5,partner
B0007,B1770,0.5,partner
B0007,B1773,0.5,partner
B0007,B1776,0.7,"partner,region"
B0007,B1778,0.5,partner
B0007,B1782,0.5,partner
B0007,B1783,0.7,"partner,region"
B0007,B1787,0.5,partner
B0007,B1805,0.5,partner
B0007,B1806,0.7,"partner,region"
B0007,B1812,0.7,"partner,region"
B0007,B1816,0.5,partner
B0007,B1822,0.5,partner
B0007,B1835,0.7,"partner,region"
B0007,B1840,0.5,partner
B0007,B1843,0.5,partner
B0007,B1859,0.5,partner
B0007,B1876,0.7,"partner,region"
B0007,B1884,0.7,"partner,region"
B0007,B1894,0.5,partner
B0007,B1896,0.5,partner
B0007,B1897,0.5,partner
B0007,B1907,0.5,partner
B0007,B1911,0.5,partner
B0007,B1918,0.5,partner
B0007,B1925,0.5,partner
B0007,B1927,0.5,partner
B0007,B1929,0.5,partner
B0007,B1935,0.5,partner
B0007,B1937,0.5,partner
B0007,B1942,0.5,partner
B0007,B1945,0.5,partner
B0007,B1949,0.7,"partner,region"
B0007,B1953,0.5,partner
B0007,B1958,0.5,partner
B0007,B1965,0.5,partner
B0007,B1973,0.5,partner
B0007,B1984,0.5,partner
B0007,B1987,0.7,"partner,region"
B0007,B1993,0.5,partner
B0007,B1994,0.5,partner
B0007,B1999,0.7,"partner,region"
B0007,B0029,0.2,region
B0007,B0079,0.2,region
B0007,B0103,0.2,region
B0007,B0155,0.2,region
B0007,B0156,0.2,region
B0007,B0171,0.2,region
B0007,B0212,0.2,region
B0007,B0239,0.2,region
B0007,B0244,0.2,region
B0007,B0246,0.2,region
B0007,B0256,0.2,region
B0007,B0299,0.2,region
B0007,B0409,0.2,region
B0007,B0448,0.2,region
B0007,B0536,0.2,region
B0007,B0709,0.2,region
B0007,B0731,0.2,region
B0007,B0736,0.2,region
B0007,B0766,0.2,region
B0007,B0807,0.2,region
B0007,B0897,0.2,region
B0007,B0898,0.2,region
B0007,B0963,0.2,region
B0007,B1015,0.2,region
B0007,B1051,0.2,region
B0007,B1113,0.2,region
B0007,B1175,0.2,region
B0007,B1218,0.2,region
B0007,B1252,0.2,region
B0007,B1265,0.2,region
B0007,B1308,0.2,region
B0007,B1338,0.2,region
B0007,B1398,0.2,region
B0007,B1409,0.2,region
B0007,B1431,0.2,region
B0007,B1504,0.2,region
B0007,B1543,0.2,region
B0007,B1549,0.2,region
B0007,B1650,0.2,region
B0007,B1688,0.2,region
B0007,B1697,0.2,region
B0007,B1701,0.2,region
B0007,B1749,0.2,region
B0007,B1766,0.2,region
B0007,B1785,0.2,region
B0007,B1830,0.2,region
B0007,B1852,0.2,region
B0007,B1881,0.2,region
B0007,B1916,0.2,region
B0007,B1930,0.2,region
B0007,B1934,0.2,region
B0007,B1954,0.2,region
B0007,B1975,0.2,region
B0007,B1980,0.2,region
B0008,B0207,1.0,group
B0008,B1014,1.0,group
B0008,B1122,1.0,group
B0008,B1890,1.0,group
B0008,B1894,1.0,group
B0008,B1942,1.0,group
B0008,B0123,0.5,partner
B0008,B0149,0.7,"partner,region"
B0008,B0193,0.7,"partner,region"
B0008,B0230,0.5,partner
B0008,B0279,0.5,partner
B0008,B0424,0.7,"partner,region"
B0008,B0463,0.5,partner
B0008,B0519,0.5,partner
B0008,B0614,0.7,"partner,region"
B0008,B0680,0.7,"partner,region"
B0008,B0739,0.5,partner
B0008,B0767,0.5,partner
B0008,B0819,0.7,"partner,region"
B0008,B0824,0.7,"partner,region"
B0008,B0899,0.5,partner
B0008,B0968,0.7,"partner,region"
B0008,B0972,0.5,partner
B0008,B1078,0.5,partner
B0008,B1092,0.5,partner
B0008,B1114,0.5,partner
B0008,B1178,0.5,partner
B0008,B1213,0.5,partner
B0008,B1214,0.5,partner
B0008,B1233,0.5,partner
B0008,B1264,0.5,partner
B0008,B1275,0.7,"partner,region"
B0008,B1310,0.5,partner
B0008,B1318,0.7,"partner,region"
B0008,B1329,0.7,"partner,region"
B0008,B1372,0.7,"partner,region"
B0008,B1427,0.7,"partner,region"
B0008,B1494,0.5,partner
B0008,B1562,0.5,partner
B0008,B1564,0.7,"partner,region"
B0008,B1585,0.7,"partner,region"
B0008,B1630,0.5,partner
B0008,B1638,0.7,"partner,region"
B0008,B1681,0.7,"partner,region"
B0008,B1920,0.7,"partner,region"
B0008,B1921,0.5,partner
B0008,B1932,0.5,partner
B0008,B1956,0.7,"partner,region"
B0008,B1986,0.5,partner
B0008,B0127,0.2,region
B0008,B0248,0.2,region
B0008,B0266,0.2,region
B0008,B0270,0.2,region
B0008,B0347,0.2,region
B0008,B0385,0.2,region
B0008,B0421,0.2,region
B0008,B0487,0.2,region
B0008,B0891,0.2,region
B0008,B1115,0.2,region
B0008,B1174,0.2,region
B0008,B1444,0.2,region
B0008,B1469,0.2,region
B0008,B1692,0.2,region
B0008,B1743,0.2,region
B0008,B1777,0.2,region
B0008,B1779,0.2,region
B0008,B1877,0.2,region
B0008,B1888,0.2,region
B0008,B1889,0.2,region
B0008,B1995,0.2,region
B0009,B0449,1.0,group
B0009,B1270,1.0,group
B0009,B1494,1.0,group
B0009,B1601,1.0,group
B0009,B0024,0.5,partner
B0009,B0041,0.7,"partner,region"
B0009,B0056,0.5,partner
B0009,B0141,0.5,partner
B0009,B0314,0.5,partner
B0009,B0339,0.5,partner
B0009,B0512,0.7,"partner,region"
B0009,B0547,0.5,partner
B0009,B0639,0.5,partner
B0009,B0647,0.5,partner
B0009,B0701,0.7,"partner,region"
B0009,B0886,0.5,partner
B0009,B0928,0.5,partner
B0009,B0991,0.5,partner
B0009,B1097,0.5,partner
B0009,B1103,0.5,partner
B0009,B1145,0.5,partner
B0009,B1225,0.5,partner
B0009,B1237,0.5,partner
B0009,B1280,0.5,partner
B0009,B1382,0.5,partner
B0009,B1467,0.5,partner
B0009,B1485,0.5,partner
B0009,B1487,0.5,partner
B0009,B1489,0.5,partner
B0009,B1655,0.5,partner
B0009,B1675,0.5,partner
B0009,B1799,0.7,"partner,region"
B0009,B1818,0.5,partner
B0009,B1886,0.5,partner
B0009,B1898,0.7,"partner,region"
B0009,B1969,0.5,partner
B0009,B0038,0.2,region
B0009,B0052,0.2,region
B0009,B0222,0.2,region
B0009,B0271,0.2,region
B0009,B0468,0.2,region
B0009,B0583,0.2,region
B0009,B0690,0.2,region
B0009,B0742,0.2,region
B0009,B0823,0.2,region
B0009,B0965,0.2,region
B0009,B1029,0.2,region
B0009,B1125,0.2,region
B0009,B1222,0.2,region
B0009,B1341,0.2,region
B0009,B1414,0.2,region
B0009,B1432,0.2,region
B0009,B1450,0.2,region
B0009,B1462,0.2,region
B0009,B1552,0.2,region
B0009,B1587,0.2,region
B0009,B1614,0.2,region
B0009,B1615,0.2,region
B0009,B1710,0.2,region
B0009,B1780,0.2,region
B0009,B1819,0.2,region
B0009,B1851,0.2,region
B0009,B1868,0.2,region
B0009,B1895,0.2,region
B0009,B1905,0.2,region
B0010,B0711,1.0,group
B0010,B0859,1.0,group
B0010,B0892,1.0,group
B0010,B1793,1.0,group
B0010,B1815,1.0,group
B0010,B0102,0.5,partner
B0010,B0159,0.5,partner
B0010,B0246,0.5,partner
B0010,B0278,0.7,"partner,region"
B0010,B0297,0.5,partner
B0010,B0299,0.5,partner
B0010,B0341,0.5,partner
B0010,B0382,0.5,partner
B0010,B0488,0.5,partner
B0010,B0493,0.7,"partner,region"
B0010,B0521,0.7,"partner,region"
B0010,B0576,0.5,partner
B0010,B0619,0.5,partner
B0010,B0692,0.5,partner
B0010,B0709,0.5,partner
B0010,B0718,0.5,partner
B0010,B0763,0.5,partner
B0010,B0789,0.5,partner
B0010,B0795,0.5,partner
B0010,B0807,0.5,partner
B0010,B0822,0.5,partner
B0010,B0894,0.5,partner
B0010,B0897,0.5,partner
B0010,B0963,0.5,partner
B0010,B0973,0.5,partner
B0010,B0980,0.5,partner
B0010,B1101,0.7,"partner,region"
B0010,B1179,0.5,partner
B0010,B1398,0.5,partner
B0010,B1477,0.5,partner
B0010,B1516,0.5,partner
B0010,B1543,0.5,partner
B0010,B1648,0.5,partner
B0010,B1697,0.5,partner
B0010,B1917,0.5,partner
B0010,B1975,0.5,partner
B0010,B1979,0.5,partner
B0010,B1980,0.5,partner
B0010,B0072,0.2,region
B0010,B0074,0.2,region
B0010,B0077,0.2,region
B0010,B0099,0.2,region
B0010,B0117,0.2,region
B0010,B0126,0.2,region
B0010,B0139,0.2,region
B0010,B0161,0.2,region
B0010,B0213,0.2,region
B0010,B0250,0.2,region
B0010,B0251,0.2,region
B0010,B0267,0.2,region
B0010,B0290,0.2,region
B0010,B0304,0.2,region
B0010,B0308,0.2,region
B0010,B0317,0.2,region
B0010,B0348,0.2,region
B0010,B0375,0.2,region
B0010,B0384,0.2,region
B0010,B0388,0.2,region
B0010,B0395,0.2,region
B0010,B0398,0.2,region
B0010,B0399,0.2,region
B0010,B0410,0.2,region
B0010,B0416,0.2,region
B0010,B0432,0.2,region
B0010,B0438,0.2,region
B0010,B0439,0.2,region
B0010,B0441,0.2,region
B0010,B0496,0.2,region
B0010,B0511,0.2,region
B0010,B0526,0.2,region
B0010,B0531,0.2,region
B0010,B0550,0.2,region
B0010,B0589,0.2,region
B0010,B0594,0.2,region
B0010,B0604,0.2,region
B0010,B0616,0.2,region
B0010,B0627,0.2,region
B0010,B0631,0.2,region
B0010,B0635,0.2,region
B0010,B0645,0.2,region
B0010,B0646,0.2,region
B0010,B0691,0.2,region
B0010,B0693,0.2,region
B0010,B0704,0.2,region
B0010,B0715,0.2,region
B0010,B0727,0.2,region
B0010,B0779,0.2,region
B0010,B0784,0.2,region
B0010,B0787,0.2,region
B0010,B0805,0.2,region
B0010,B0812,0.2,region
B0010,B0825,0.2,region
B0010,B0837,0.2,region
B0010,B0844,0.2,region
B0010,B0877,0.2,region
B0010,B0915,0.2,region
B0010,B0927,0.2,region
B0010,B0935,0.2,region
B0010,B0983,0.2,region
B0010,B0996,0.2,region
B0010,B1011,0.2,region
B0010,B1025,0.2,region
B0010,B1033,0.2,region
B0010,B1037,0.2,region
B0010,B1050,0.2,region
B0010,B1090,0.2,region
B0010,B1137,0.2,region
B0010,B1147,0.2,region
B0010,B1156,0.2,region
B0010,B1176,0.2,region
B0010,B1184,0.2,region
B0010,B1250,0.2,region
B0010,B1253,0.2,region
B0010,B1256,0.2,region
B0010,B1266,0.2,region
B0010,B1288,0.2,region
B0010,B1319,0.2,region
B0010,B1344,0.2,region
B0010,B1380,0.2,region
B0010,B1406,0.2,region
B0010,B1486,0.2,region
B0010,B1491,0.2,region
B0010,B1505,0.2,region
B0010,B1506,0.2,region
B0010,B1527,0.2,region
B0010,B1561,0.2,region
B0010,B1566,0.2,region
B0010,B1568,0.2,region
B0010,B1590,0.2,region
B0010,B1603,0.2,region
B0010,B1605,0.2,region
B0010,B1607,0.2,region
B0010,B1641,0.2,region
B0010,B1647,0.2,region
B0010,B1671,0.2,region
B0010,B1689,0.2,region
B0010,B1719,0.2,region
B0010,B1720,0.2,region
B0010,B1731,0.2,region
B0010,B1750,0.2,region
B0010,B1752,0.2,region
B0010,B1773,0.2,region
B0010,B1816,0.2,region
B0010,B1836,0.2,region
B0010,B1841,0.2,region
B0010,B1843,0.2,region
B0010,B1850,0.2,region
B0010,B1896,0.2,region
B0010,B1897,0.2,region
B0010,B1922,0.2,region
B0010,B1927,0.2,region
B0010,B1929,0.2,region
B0010,B1942,0.2,region
B0010,B1958,0.2,region
B0010,B1959,0.2,region
B0010,B1965,0.2,region
B0010,B1993,0.2,region
B0010,B1994,0.2,region
B0011,B0284,1.0,group
B0011,B0396,1.0,group
B0011,B0498,1.0,group
B0011,B1276,1.0,group
B0011,B1325,1.0,group
B0011,B0038,0.5,partner
B0011,B0098,0.7,"partner,region"
B0011,B0232,0.5,partner
B0011,B0323,0.7,"partner,region"
B0011,B0443,0.7,"partner,region"
B0011,B0513,0.5,partner
B0011,B0542,0.7,"partner,region"
B0011,B0559,0.5,partner
B0011,B0591,0.7,"partner,region"
B0011,B0653,0.5,partner
B0011,B0730,0.5,partner
B0011,B0744,0.7,"partner,region"
B0011,B0772,0.7,"partner,region"
B0011,B0786,0.5,partner
B0011,B0906,0.7,"partner,region"
B0011,B0924,0.7,"partner,region"
B0011,B0925,0.7,"partner,region"
B0011,B0939,0.5,partner
B0011,B0943,0.7,"partner,region"
B0011,B1029,0.5,partner
B0011,B1080,0.5,partner
B0011,B1121,0.7,"partner,region"
B0011,B1122,0.5,partner
B0011,B1126,0.7,"partner,region"
B0011,B1134,0.7,"partner,region"
B0011,B1210,0.7,"partner,region"
B0011,B1236,0.7,"partner,region"
B0011,B1241,0.7,"partner,region"
B0011,B1277,0.7,"partner,region"
B0011,B1432,0.5,partner
B0011,B1475,0.5,partner
B0011,B1492,0.7,"partner,region"
B0011,B1496,0.7,"partner,region"
B0011,B1686,0.5,partner
B0011,B1721,0.7,"partner,region"
B0011,B1744,0.7,"partner,region"
B0011,B1832,0.7,"partner,region"
B0011,B1853,0.5,partner
B0011,B1865,0.7,"partner,region"
B0011,B1869,0.7,"partner,region"
B0011,B1974,0.7,"partner,region"
B0011,B0056,0.2,region
B0011,B0096,0.2,region
B0011,B0114,0.2,region
B0011,B0135,0.2,region
B0011,B0141,0.2,region
B0011,B0146,0.2,region
B0011,B0182,0.2,region
B0011,B0255,0.2,region
B0011,B0283,0.2,region
B0011,B0298,0.2,region
B0011,B0307,0.2,region
B0011,B0431,0.2,region
B0011,B0585,0.2,region
B0011,B0639,0.2,region
B0011,B0707,0.2,region
B0011,B0774,0.2,region
B0011,B0838,0.2,region
B0011,B0870,0.2,region
B0011,B1008,0.2,region
B0011,B1048,0.2,region
B0011,B1103,0.2,region
B0011,B1118,0.2,region
B0011,B1119,0.2,region
B0011,B1127,0.2,region
B0011,B1141,0.2,region
B0011,B1170,0.2,region
B0011,B1230,0.2,region
B0011,B1237,0.2,region
B0011,B1365,0.2,region
B0011,B1373,0.2,region
B0011,B1382,0.2,region
B0011,B1401,0.2,region
B0011,B1422,0.2,region
B0011,B1425,0.2,region
B0011,B1467,0.2,region
B0011,B1487,0.2,region
B0011,B1489,0.2,region
B0011,B1519,0.2,region
B0011,B1642,0.2,region
B0011,B1655,0.2,region
B0011,B1656,0.2,region
B0011,B1735,0.2,region
B0011,B1784,0.2,region
B0011,B1838,0.2,region
B0011,B1846,0.2,region
B0011,B1886,0.2,region
B0011,B1899,0.2,region
B0011,B1902,0.2,region
B0011,B1950,0.2,region
B0011,B1968,0.2,region
B0011,B1969,0.2,region
B0012,B0167,1.0,group
B0012,B0171,1.0,group
B0012,B0649,1.0,group
B0012,B1926,1.0,group
B0012,B0138,0.7,"partner,region"
B0012,B0342,0.7,"partner,region"
B0012,B0848,0.7,"partner,region"
B0012,B0981,0.7,"partner,region"
B0012,B1376,0.7,"partner,region"
B0013,B0241,1.0,group
B0013,B0315,1.0,group
B0013,B0387,1.0,group
B0013,B0600,1.5,"group,partner"
B0013,B0776,1.0,group
B0013,B0016,0.5,partner
B0013,B0025,0.5,partner
B0013,B0028,0.7,"partner,region"
B0013,B0030,0.5,partner
B0013,B0035,0.5,partner
B0013,B0051,0.7,"partner,region"
B0013,B0060,0.5,partner
B0013,B0062,0.5,partner
