borrower_id,t,state,is_stressed,own_lagged_risk,neighbor_stress_fraction,regional_shock_index,ground_truth_reason,group_id,partner_id,region_id,loan_amount,term_months,repayment_interval,current_savings,individual_risk_score
B0121,0,0,0,0,0.0,1,,G0334,222.0,Uganda_R1,1050.0,7.0,monthly,72.12,0.07353004
B0122,0,0,0,0,0.0,0,,G0287,154.0,Colombia_R2,400.0,15.0,monthly,81.13,0.04662369
B0123,0,1,1,0,0.0,0,Isolated Stress,G0060,311.0,Cambodia_R1,200.0,8.0,monthly,69.8,0.07392418
B0124,0,0,0,0,0.0,1,,G0006,163.0,Uganda_R1,475.0,10.0,monthly,139.74,0.042730086
B0125,0,0,0,0,0.0,0,,G0190,87.0,Tanzania_R3,1875.0,11.0,irregular,439.81,0.03516173
B0126,0,0,0,0,0.0,0,,G0136,145.0,Philippines_R1,225.0,7.0,irregular,31.92,0.045673206
B0127,0,0,0,0,0.0,0,,G0262,204.0,Cambodia_R2,500.0,14.0,monthly,118.58,0.04882722
B0128,0,0,0,0,0.0,0,,G0003,183.0,Sierra Leone_R2,275.0,11.0,irregular,57.23,0.05686926
B0129,0,0,0,0,0.0,0,,G0141,406.0,Indonesia_R0,425.0,60.0,irregular,75.58,0.054896433
B0130,0,0,0,0,0.0,0,,G0333,63.0,Tajikistan_R0,75.0,14.0,monthly,6.69,0.049615346
B0131,0,0,0,0,0.0,0,,G0153,145.0,Philippines_R0,375.0,11.0,irregular,118.49,0.054298874
B0132,0,0,0,0,0.0,0,,G0191,80.0,Palestine_R0,550.0,21.0,monthly,101.71,0.047641836
B0133,0,0,0,0,0.0,0,,G0213,169.0,Armenia_R3,1050.0,30.0,monthly,113.81,0.11987127
B0134,0,0,0,0,0.0,0,,G0310,98.0,Nicaragua_R2,375.0,13.0,monthly,60.12,0.039680284
B0135,0,0,0,0,0.0,0,,G0026,386.0,Kenya_R2,200.0,15.0,irregular,34.85,0.04234552
B0136,0,0,0,0,0.0,0,,G0158,145.0,Philippines_R0,275.0,8.0,irregular,82.02,0.06264562
B0137,0,0,0,0,0.0,0,,G0191,386.0,Kenya_R3,400.0,14.0,irregular,108.03,0.075742565
B0138,0,0,0,0,0.0,0,,G0165,240.0,Kosovo_R0,1625.0,20.0,monthly,456.29,0.025926417
B0139,0,0,0,0,0.0,0,,G0166,145.0,Philippines_R1,325.0,8.0,irregular,17.33,0.060339376
B0140,0,0,0,0,0.0,0,,G0138,58.0,Paraguay_R3,3400.0,8.0,monthly,594.48,0.03251562
B0141,0,0,0,0,0.0,0,,G0075,138.0,Kenya_R2,475.0,14.0,monthly,92.34,0.047256157
B0142,0,0,0,0,0.0,0,,G0150,115.0,Lebanon_R0,575.0,11.0,monthly,32.06,0.076604635
B0143,0,1,1,0,0.0,0,Isolated Stress,G0286,201.0,Honduras_R3,925.0,14.0,bullet,118.35,0.0639722
B0144,0,0,0,0,0.0,0,,G0177,62.0,Nepal_R0,300.0,14.0,monthly,83.43,0.049318112
B0145,0,0,0,0,0.0,0,,G0203,145.0,Philippines_R0,225.0,8.0,irregular,20.5,0.045219768
B0146,0,0,0,0,0.0,0,,G0283,133.0,Kenya_R2,350.0,14.0,monthly,73.71,0.039975066
B0147,0,0,0,0,0.0,0,,G0125,115.0,Lebanon_R0,750.0,11.0,monthly,85.92,0.06444787
B0148,0,1,1,0,0.0,1,Independent Regional Shock,G0099,136.0,Philippines_R3,300.0,26.0,monthly,16.09,0.30390453
B0149,0,0,0,0,0.0,0,,G0254,311.0,Cambodia_R2,200.0,8.0,monthly,24.47,0.054993488
B0150,0,0,0,0,0.0,0,,G0281,199.0,El Salvador_R1,200.0,14.0,monthly,68.55,0.06611378
B0151,0,0,0,0,0.0,0,,G0277,188.0,Ecuador_R1,800.0,20.0,monthly,232.37,0.03280471
B0152,0,0,0,0,0.0,0,,G0275,110.0,Bolivia_R0,1450.0,20.0,irregular,489.92,0.03502621
B0153,0,0,0,0,0.0,0,,G0244,100.0,Tajikistan_R2,325.0,14.0,monthly,63.82,0.042372797
B0154,0,0,0,0,0.0,0,,G0260,137.0,Ecuador_R0,550.0,7.0,irregular,45.61,0.07573911
B0155,0,0,0,0,0.0,0,,G0126,123.0,Philippines_R0,225.0,8.0,irregular,48.24,0.060917735
B0156,0,0,0,0,0.0,0,,G0146,126.0,Philippines_R0,350.0,3.0,irregular,65.21,0.05236406
B0157,0,1,1,0,0.0,0,Isolated Stress,G0266,145.0,Philippines_R0,225.0,8.0,irregular,68.24,0.06927632
B0158,0,0,0,0,0.0,0,,G0144,145.0,Philippines_R0,250.0,5.0,irregular,19.86,0.017597761
B0159,0,0,0,0,0.0,1,,G0237,125.0,Philippines_R2,225.0,12.0,irregular,44.21,0.06495711
B0160,0,1,1,0,0.0,0,Isolated Stress,G0274,100.0,Tajikistan_R1,425.0,14.0,monthly,40.38,0.056532063
B0161,0,0,0,0,0.0,0,,G0319,136.0,Philippines_R1,175.0,8.0,irregular,25.8,0.04316209
B0162,0,1,1,0,0.0,0,Isolated Stress,G0049,177.0,Colombia_R2,1200.0,27.0,bullet,325.45,0.079517685
B0163,0,0,0,0,0.0,0,,G0045,164.0,Kenya_R0,600.0,14.0,irregular,115.68,0.068191364
B0164,0,0,0,0,0.0,0,,G0154,441.0,Rwanda_R0,300.0,36.0,monthly,48.83,0.030715037
B0165,0,1,1,0,0.0,0,Isolated Stress,G0192,169.0,Armenia_R0,3000.0,38.0,monthly,505.03,0.018068988
B0166,0,0,0,0,0.0,0,,G0325,269.0,Honduras_R2,1350.0,26.0,monthly,253.58,0.040391
B0167,0,0,0,0,0.0,0,,G0162,143.0,Peru_R0,225.0,11.0,monthly,64.24,0.04487669
B0168,0,0,0,0,0.0,0,,G0055,279.0,Nicaragua_R0,625.0,14.0,irregular,198.52,0.03405156
B0169,0,0,0,0,0.0,0,,G0220,71.0,Peru_R0,375.0,9.0,monthly,126.23,0.060101487
B0170,0,0,0,0,0.0,0,,G0086,48.0,Bolivia_R3,625.0,8.0,monthly,178.79,0.0274225
B0171,0,0,0,0,0.0,0,,G0162,126.0,Philippines_R0,125.0,8.0,monthly,18.08,0.061431326
B0172,0,0,0,0,0.0,0,,G0216,169.0,Armenia_R3,2200.0,26.0,monthly,564.17,0.052247204
B0173,0,0,0,0,0.0,1,,G0034,55.0,Guatemala_R0,3375.0,14.0,monthly,611.82,0.029668236
B0174,0,0,0,0,0.0,0,,G0120,154.0,Colombia_R1,1150.0,20.0,monthly,145.36,0.044007465
B0175,0,0,0,0,0.0,1,,G0060,145.0,Philippines_R3,425.0,14.0,irregular,128.46,0.10410423
B0176,0,0,0,0,0.0,0,,G0227,121.0,Vietnam_R2,1850.0,14.0,monthly,113.83,0.055212148
B0177,0,0,0,0,0.0,0,,G0117,15.0,Samoa_R0,975.0,14.0,irregular,312.52,0.0295176
B0178,0,0,0,0,0.0,0,,G0148,145.0,Philippines_R0,325.0,13.0,irregular,61.24,0.05888845
B0179,0,0,0,0,0.0,0,,G0128,112.0,Uganda_R2,125.0,6.0,irregular,30.15,0.038072724
B0180,0,0,0,0,0.0,0,,G0264,441.0,Rwanda_R0,300.0,36.0,monthly,74.34,0.020830296
B0181,0,0,0,0,0.0,0,,G0133,171.0,Kyrgyzstan_R2,1750.0,14.0,monthly,557.44,0.03589695
B0182,0,0,0,0,0.0,0,,G0085,133.0,Kenya_R2,50.0,8.0,monthly,12.05,0.038189534
B0183,0,0,0,0,0.0,0,,G0191,242.0,India_R1,1725.0,43.0,bullet,403.96,0.08487722
B0184,0,0,0,0,0.0,0,,G0078,199.0,El Salvador_R0,550.0,15.0,bullet,38.5,0.05912599
B0185,0,0,0,0,0.0,0,,G0057,74.0,Nicaragua_R2,275.0,18.0,irregular,56.52,0.06705649
B0186,0,0,0,0,0.0,1,,G0285,145.0,Philippines_R2,150.0,8.0,irregular,14.26,0.029028919
B0187,0,0,0,0,0.0,0,,G0315,78.0,Mali_R2,225.0,5.0,monthly,61.03,0.07736601
B0188,0,0,0,0,0.0,0,,G0036,115.0,Lebanon_R0,575.0,10.0,monthly,117.11,0.06811369
B0189,0,0,0,0,0.0,0,,G0327,396.0,Ghana_R0,1500.0,8.0,bullet,381.1,0.0404484
B0190,0,0,0,0,0.0,0,,G0263,177.0,Colombia_R0,525.0,18.0,bullet,32.81,0.057679586
B0191,0,1,1,0,0.0,0,Isolated Stress,G0231,58.0,Paraguay_R0,4800.0,8.0,monthly,362.1,0.0987143
B0192,0,0,0,0,0.0,0,,G0074,185.0,Jordan_R2,1425.0,21.0,monthly,377.48,0.04994756
B0193,0,0,0,0,0.0,0,,G0169,311.0,Cambodia_R2,175.0,8.0,monthly,12.53,0.032073904
B0194,0,0,0,0,0.0,1,,G0061,145.0,Philippines_R2,525.0,8.0,irregular,37.47,0.055514015
B0195,0,0,0,0,0.0,0,,G0145,145.0,Philippines_R0,250.0,8.0,irregular,13.41,0.034174643
B0196,0,0,0,0,0.0,0,,G0037,48.0,Bolivia_R0,800.0,11.0,monthly,269.56,0.030274404
B0197,0,0,0,0,0.0,0,,G0286,177.0,Colombia_R3,700.0,26.0,bullet,189.88,0.047453754
B0198,0,0,0,0,0.0,0,,G0071,185.0,Jordan_R3,425.0,15.0,monthly,66.29,0.046538334
B0199,0,0,0,0,0.0,1,,G0091,144.0,Philippines_R3,450.0,8.0,irregular,62.53,0.07696221
B0200,0,0,0,0,0.0,0,,G0310,199.0,El Salvador_R2,1000.0,14.0,bullet,154.91,0.04167571
B0201,0,0,0,0,0.0,0,,G0319,204.0,Cambodia_R0,950.0,14.0,monthly,268.28,0.028689228
B0202,0,1,1,0,0.0,1,Independent Regional Shock,G0288,145.0,Philippines_R2,150.0,14.0,irregular,37.26,0.14980204
B0203,0,0,0,0,0.0,0,,G0046,55.0,Guatemala_R2,4525.0,12.0,monthly,477.65,0.034687765
B0204,0,0,0,0,0.0,1,,G0190,145.0,Philippines_R3,425.0,13.0,irregular,43.45,0.0839275
B0205,0,0,0,0,0.0,0,,G0321,167.0,El Salvador_R0,300.0,8.0,monthly,23.86,0.058413927
B0206,0,0,0,0,0.0,0,,G0306,145.0,Philippines_R0,350.0,10.0,irregular,86.83,0.05094702
B0207,0,0,0,0,0.0,0,,G0278,81.0,El Salvador_R0,1250.0,20.0,monthly,349.14,0.04633537
B0208,0,1,1,0,0.0,0,Isolated Stress,G0107,443.0,Madagascar_R3,600.0,9.0,irregular,77.71,0.07495499
B0209,0,0,0,0,0.0,0,,G0137,167.0,El Salvador_R0,500.0,14.0,monthly,28.14,0.042642478
B0210,0,0,0,0,0.0,0,,G0015,247.0,Pakistan_R0,375.0,11.0,irregular,27.99,0.09171506
B0211,0,0,0,0,0.0,0,,G0028,81.0,El Salvador_R0,500.0,14.0,monthly,170.18,0.024015324
B0212,0,0,0,0,0.0,0,,G0008,126.0,Philippines_R0,300.0,8.0,irregular,41.59,0.059527367
B0213,0,0,0,0,0.0,0,,G0184,145.0,Philippines_R1,225.0,8.0,irregular,63.17,0.061231315
B0214,0,0,0,0,0.0,0,,G0123,357.0,Mexico_R0,625.0,20.0,monthly,148.37,0.058404855
B0215,0,0,0,0,0.0,0,,G0143,245.0,Pakistan_R0,450.0,14.0,monthly,74.06,0.04779228
B0216,0,0,0,0,0.0,0,,G0315,78.0,Mali_R0,325.0,8.0,irregular,36.3,0.061104774
B0217,0,0,0,0,0.0,0,,G0241,239.0,Albania_R1,1575.0,26.0,monthly,136.11,0.045517467
B0218,0,0,0,0,0.0,1,,G0047,145.0,Philippines_R2,325.0,14.0,irregular,76.21,0.055673838
B0219,0,0,0,0,0.0,0,,G0291,100.0,Tajikistan_R0,2300.0,26.0,monthly,649.5,0.03707132
B0220,0,0,0,0,0.0,1,,G0039,145.0,Philippines_R3,200.0,8.0,irregular,48.63,0.09313106
B0221,0,0,0,0,0.0,1,,G0119,145.0,Philippines_R2,225.0,8.0,irregular,47.05,0.060917735
B0222,0,0,0,0,0.0,0,,G0172,202.0,Kenya_R1,775.0,11.0,bullet,48.5,0.04074134
B0223,0,0,0,0,0.0,0,,G0203,167.0,El Salvador_R0,800.0,17.0,monthly,272.44,0.027986908
B0224,0,0,0,0,0.0,1,,G0167,123.0,Philippines_R2,150.0,7.0,irregular,43.44,0.07424279
B0225,0,0,0,0,0.0,0,,G0269,63.0,Tajikistan_R2,375.0,10.0,monthly,51.69,0.04091393
B0226,0,0,0,0,0.0,1,,G0098,9.0,Cambodia_R3,1000.0,20.0,monthly,343.99,0.035279155
B0227,0,0,0,0,0.0,1,,G0176,182.0,Liberia_R1,225.0,11.0,irregular,51.88,0.06731686
B0228,0,0,0,0,0.0,0,,G0172,112.0,Uganda_R2,500.0,6.0,irregular,112.36,0.060957342
B0229,0,0,0,0,0.0,1,,G0270,145.0,Philippines_R3,525.0,5.0,irregular,144.07,0.019521352
B0230,0,0,0,0,0.0,0,,G0311,311.0,Cambodia_R1,100.0,8.0,monthly,29.35,0.02126681
B0231,0,0,0,0,0.0,0,,G0033,81.0,El Salvador_R0,400.0,14.0,monthly,98.78,0.0545402
B0232,0,0,0,0,0.0,0,,G0186,156.0,Kenya_R3,575.0,14.0,monthly,50.85,0.04636412
B0233,0,0,0,0,0.0,0,,G0025,129.0,Indonesia_R0,225.0,13.0,irregular,34.08,0.05508313
B0234,0,0,0,0,0.0,0,,G0222,334.0,India_R0,325.0,43.0,bullet,106.74,0.020294879
B0235,0,0,0,0,0.0,0,,G0196,119.0,Peru_R0,500.0,8.0,monthly,58.69,0.05527796
B0236,0,0,0,0,0.0,0,,G0106,163.0,Uganda_R3,425.0,10.0,monthly,68.7,0.04937189
