loan_id,loan_amount,sector,country,region,term_months,repayment_interval,partner_id,borrower_id,region_id,group_id,current_savings,baseline_hazard
1249644,325.0,Retail,Liberia,New Kru,11.0,irregular,182.0,B0018,Liberia_R1,G0120,71.07,0.04094545454545455
924948,800.0,Housing,Mozambique,Namaacha,20.0,monthly,23.0,B0019,Mozambique_R0,G0256,269.83,0.04128
1222462,5525.0,Retail,Ecuador,Portoviejo,7.0,irregular,137.0,B0020,Ecuador_R0,G0325,566.81,0.06525714285714286
1219072,300.0,Agriculture,Pakistan,Oghi,14.0,monthly,245.0,B0021,Pakistan_R0,G0330,77.1,0.04068571428571428
905682,1000.0,Food,Samoa,Satuiatua Savaii,14.0,irregular,15.0,B0022,Samoa_R3,G0240,110.28,0.04228571428571429
1130016,2025.0,Agriculture,Vietnam,01 Hoàng Sơn,20.0,monthly,121.0,B0023,Vietnam_R2,G0035,426.77,0.04324
965267,500.0,Clothing,Kenya,Nakuru,8.0,monthly,138.0,B0024,Kenya_R3,G0177,39.5,0.041999999999999996
866183,700.0,Retail,Philippines,"Binalbagan, Negros Occidental",11.0,irregular,145.0,B0025,Philippines_R3,G0168,129.58,0.042036363636363636
816052,125.0,Agriculture,Philippines,"Jimenez, Misamis  Occidental",8.0,monthly,136.0,B0026,Philippines_R2,G0270,34.61,0.0405
1061438,225.0,Agriculture,Philippines,"Natappian East, Solana, Cagayan",7.0,irregular,123.0,B0027,Philippines_R2,G0181,34.71,0.04102857142857143
1314813,225.0,Food,Philippines,"Narra, Palawan",8.0,irregular,145.0,B0028,Philippines_R0,G0219,56.13,0.040900000000000006
1153353,325.0,Transportation,Philippines,"Calamba, Misamis Occidental",14.0,monthly,126.0,B0029,Philippines_R0,G0005,93.81,0.04074285714285714
887418,175.0,Food,Philippines,"Tacloban City, Leyte",8.0,irregular,145.0,B0030,Philippines_R3,G0052,57.43,0.0407
653660,400.0,Retail,Pakistan,Ali Pur Chatta,14.0,monthly,245.0,B0031,Pakistan_R0,G0122,48.16,0.040914285714285716
1005557,650.0,Agriculture,Cambodia,"Kampong Cham province, Prey Chhor district",14.0,monthly,204.0,B0032,Cambodia_R3,G0044,110.37,0.041485714285714285
1178481,2525.0,Retail,Mexico,"Las Flores, Tierra Blanca, Veracruz",7.0,monthly,130.0,B0033,Mexico_R2,G0197,241.71,0.05154285714285714
1196179,400.0,Services,Kenya,Kapsabet,14.0,monthly,133.0,B0034,Kenya_R0,G0322,139.1,0.040914285714285716
1030343,275.0,Transportation,Philippines,"Tacloban City, Leyte",7.0,irregular,145.0,B0035,Philippines_R3,G0257,90.23,0.04125714285714285
1182365,675.0,Food,Ghana,Kasoa,7.0,irregular,231.0,B0036,Ghana_R0,G0230,143.09,0.04308571428571428
1313053,300.0,Services,Cambodia,Battambang,14.0,monthly,499.0,B0037,Cambodia_R1,G0270,90.78,0.04068571428571428
1198401,600.0,Agriculture,Kenya,Kenyenya,14.0,monthly,156.0,B0038,Kenya_R1,G0216,123.77,0.04137142857142857
1289414,75.0,Food,Haiti,Cabaret,7.0,monthly,442.0,B0039,Haiti_R0,G0172,17.78,0.04034285714285714
1314014,1725.0,Clothing,Tajikistan,Isfara,14.0,monthly,100.0,B0040,Tajikistan_R2,G0311,132.37,0.043942857142857145
949406,400.0,Agriculture,Kenya,Taveta,14.0,monthly,138.0,B0041,Kenya_R1,G0153,110.63,0.040914285714285716
1002257,950.0,Retail,Colombia,Planeta Rica,27.0,bullet,177.0,B0042,Colombia_R3,G0189,83.9,0.04112592592592593
786179,1125.0,Retail,Philippines,"Coron, Palawan",8.0,irregular,144.0,B0043,Philippines_R3,G0093,335.05,0.0445
704467,225.0,Services,Pakistan,Rawalpindi,11.0,irregular,247.0,B0044,Pakistan_R1,G0055,64.04,0.04065454545454546
708787,75.0,Retail,Kenya,Makueni,8.0,monthly,133.0,B0045,Kenya_R0,G0050,19.7,0.0403
916992,300.0,Food,Uganda,Bundibugyo,9.0,monthly,163.0,B0046,Uganda_R3,G0250,18.25,0.04106666666666667
990160,100.0,Personal Use,Nigeria,Kaduna,14.0,bullet,288.0,B0047,Nigeria_R2,G0183,14.09,0.04022857142857143
1073892,6300.0,Retail,Peru,Cusco,6.0,irregular,119.0,B0048,Peru_R2,G0125,812.28,0.0736
674673,2550.0,Personal Use,Azerbaijan,Imishli,20.0,monthly,56.0,B0049,Azerbaijan_R0,G0033,403.0,0.04408
1195529,200.0,Agriculture,El Salvador,Ciudad El Triunfo,14.0,monthly,199.0,B0050,El Salvador_R1,G0254,15.26,0.04045714285714286
1302834,125.0,Retail,Philippines,"Mandaue, Cebu City",8.0,irregular,145.0,B0051,Philippines_R0,G0070,41.39,0.0405
654633,700.0,Clothing,Kenya,"Kangemi,Nairobi",11.0,monthly,133.0,B0052,Kenya_R1,G0190,151.3,0.042036363636363636
782033,425.0,Services,Tajikistan,Kulob,14.0,monthly,63.0,B0053,Tajikistan_R1,G0277,60.2,0.040971428571428575
865124,250.0,Food,Mali,Loulouni ,8.0,monthly,78.0,B0054,Mali_R1,G0118,42.27,0.041
887315,500.0,Agriculture,El Salvador,,11.0,bullet,167.0,B0055,El Salvador_R0,G0181,92.08,0.04145454545454545
994590,200.0,Food,Kenya,Kilifi,7.0,monthly,138.0,B0056,Kenya_R2,G0002,46.04,0.040914285714285716
775301,675.0,Food,Philippines,"Sindangan - Disud, Sindangan, Zamboanga del Norte",8.0,irregular,126.0,B0057,Philippines_R3,G0213,138.18,0.0427
1280359,625.0,Agriculture,Peru,Moquegua,14.0,monthly,435.0,B0058,Peru_R3,G0107,203.64,0.041428571428571426
929739,475.0,Housing,India,"Jharsuguda, Odisha",43.0,bullet,241.0,B0059,India_R0,G0048,94.57,0.04035348837209302
1128893,400.0,Agriculture,Philippines,"Calatrava, Negros Occidental",8.0,irregular,145.0,B0060,Philippines_R3,G0187,139.06,0.0416
683834,600.0,Food,Kenya,Msambweni,13.0,irregular,164.0,B0061,Kenya_R3,G0229,183.26,0.04147692307692308
1236432,325.0,Food,Philippines,"Manapla, Negros Occidental",10.0,irregular,145.0,B0062,Philippines_R2,G0202,36.58,0.04104
703375,250.0,Agriculture,India,Dhupguri,43.0,bullet,334.0,B0063,India_R3,G0035,82.29,0.04018604651162791
1262427,575.0,Agriculture,Kenya,Webuye,9.0,bullet,202.0,B0064,Kenya_R0,G0314,48.82,0.04204444444444444
700181,1575.0,Entertainment,Colombia,Medellín,26.0,monthly,177.0,B0065,Colombia_R2,G0001,464.99,0.041938461538461536
1324014,675.0,Food,Colombia,Facatativá/Cundinamarca,21.0,monthly,154.0,B0066,Colombia_R2,G0177,110.83,0.04102857142857143
1264385,650.0,Agriculture,El Salvador,El Transito,14.0,monthly,199.0,B0067,El Salvador_R2,G0063,203.7,0.041485714285714285
707943,500.0,Clothing,Turkey,,13.0,irregular,198.0,B0068,Turkey_R0,G0190,155.21,0.04123076923076923
809385,825.0,Clothing,Rwanda,,7.0,irregular,161.0,B0069,Rwanda_R0,G0013,240.72,0.04377142857142857
1180760,475.0,Retail,Philippines,"Taytay, Palawan",8.0,irregular,145.0,B0070,Philippines_R3,G0008,136.33,0.0419
713000,1500.0,Retail,Nicaragua,Matagalpa,21.0,monthly,176.0,B0071,Nicaragua_R2,G0070,212.11,0.04228571428571429
1262170,200.0,Housing,Philippines,Oroquieta- Oroquieta City,7.0,monthly,126.0,B0072,Philippines_R1,G0095,14.86,0.040914285714285716
1132258,1375.0,Health,Mexico,"Guadalajara, Jalisco",26.0,monthly,357.0,B0073,Mexico_R0,G0049,234.98,0.041692307692307695
946029,125.0,Food,Philippines,"Baybay City, Leyte",8.0,irregular,145.0,B0074,Philippines_R1,G0194,12.76,0.0405
1312238,300.0,Services,Tajikistan,Vahdat,14.0,monthly,63.0,B0075,Tajikistan_R0,G0227,77.55,0.04068571428571428
1330540,150.0,Health,Tajikistan,Khujand,14.0,monthly,100.0,B0076,Tajikistan_R0,G0051,23.07,0.04034285714285714
964868,450.0,Food,Philippines,"Numancia, Aklan",10.0,irregular,145.0,B0077,Philippines_R1,G0181,154.21,0.041440000000000005
1016062,500.0,Food,Ecuador,Tulcán,14.0,monthly,188.0,B0078,Ecuador_R3,G0044,121.15,0.04114285714285715
787905,400.0,Services,Philippines,"Payatas-B, Commonwealth, Quezon City",6.0,irregular,144.0,B0079,Philippines_R0,G0212,118.7,0.042133333333333335
1218067,375.0,Agriculture,Kyrgyzstan,Aravan district,13.0,monthly,171.0,B0080,Kyrgyzstan_R1,G0191,33.66,0.04092307692307692
1281380,200.0,Personal Use,Philippines,"Dumaguete, Negros Oriental",14.0,irregular,145.0,B0081,Philippines_R2,G0111,61.72,0.04045714285714286
1289868,1025.0,Food,Paraguay,Villarrica,15.0,monthly,58.0,B0082,Paraguay_R1,G0200,335.0,0.042186666666666664
1257203,200.0,Services,Kenya,Changamwe,14.0,irregular,164.0,B0083,Kenya_R0,G0125,39.22,0.04045714285714286
715246,475.0,Agriculture,Peru,Cayaltí - Chiclayo,14.0,monthly,143.0,B0084,Peru_R3,G0111,110.14,0.04108571428571429
1098914,1075.0,Food,Ghana,Chorkor,9.0,irregular,231.0,B0085,Ghana_R0,G0178,300.4,0.04382222222222222
958545,525.0,Personal Use,Indonesia,Tangerang,59.0,irregular,406.0,B0086,Indonesia_R0,G0117,53.79,0.04028474576271186
915768,650.0,Food,Armenia,Vanadzor,14.0,monthly,146.0,B0087,Armenia_R1,G0333,130.5,0.041485714285714285
933478,500.0,Agriculture,El Salvador,Usulután,14.0,bullet,199.0,B0088,El Salvador_R2,G0153,84.8,0.04114285714285715
718312,800.0,Housing,Uganda,Hoima,10.0,monthly,163.0,B0089,Uganda_R3,G0234,75.13,0.04256
1128058,200.0,Clothing,Togo,Agoe,8.0,irregular,296.0,B0090,Togo_R3,G0217,32.05,0.0408
836716,675.0,Housing,Guatemala,Quiche,14.0,monthly,246.0,B0091,Guatemala_R3,G0323,47.55,0.041542857142857145
1112843,300.0,Services,El Salvador,Sensuntepeque,12.0,monthly,199.0,B0092,El Salvador_R1,G0188,17.32,0.0408
953164,1425.0,Agriculture,Peru,Huancayo,8.0,monthly,93.0,B0093,Peru_R3,G0242,129.03,0.045700000000000005
939486,2125.0,Education,Georgia,Telavi,39.0,monthly,181.0,B0094,Georgia_R3,G0197,720.24,0.04174358974358974
733673,500.0,Housing,El Salvador,,20.0,monthly,81.0,B0095,El Salvador_R0,G0303,107.43,0.0408
1130220,600.0,Transportation,Kenya,Kisumu,14.0,irregular,386.0,B0096,Kenya_R2,G0146,203.85,0.04137142857142857
707650,3550.0,Food,Nicaragua,Leon,10.0,monthly,96.0,B0097,Nicaragua_R1,G0193,638.11,0.05136
1321490,300.0,Agriculture,Kenya,Bungoma,14.0,monthly,156.0,B0098,Kenya_R2,G0308,43.06,0.04068571428571428
733381,250.0,Food,Philippines,Pagadian-Upper Bayao Tukuran Zamboanga del Sur,8.0,irregular,126.0,B0099,Philippines_R1,G0004,50.46,0.041
1215787,200.0,Transportation,Philippines,"Dumangas, Iloilo City",8.0,irregular,145.0,B0100,Philippines_R2,G0038,36.37,0.0408
848621,2900.0,Arts,Guatemala,Solola,14.0,monthly,246.0,B0101,Guatemala_R0,G0093,236.93,0.04662857142857143
957666,650.0,Food,Philippines,"Concepcion, Iloilo",12.0,irregular,125.0,B0102,Philippines_R2,G0194,157.46,0.04173333333333333
862625,350.0,Services,Philippines,"Dasmarinas, Cavite",5.0,irregular,144.0,B0103,Philippines_R0,G0276,40.18,0.04224
758725,1600.0,Agriculture,El Salvador,San Miguel,8.0,bullet,199.0,B0104,El Salvador_R0,G0202,377.4,0.0464
979760,100.0,Agriculture,Philippines,"Pagadian - Pagadian City, Zamboanga del Sur",7.0,monthly,126.0,B0105,Philippines_R3,G0136,24.51,0.04045714285714286
991130,350.0,Personal Use,Nicaragua,,14.0,irregular,279.0,B0106,Nicaragua_R0,G0184,33.46,0.0408
1077785,1500.0,Housing,Palestine,Nablus,28.0,monthly,462.0,B0107,Palestine_R2,G0094,102.61,0.04171428571428572
977971,175.0,Retail,Philippines,"Palo, Leyte",8.0,irregular,145.0,B0108,Philippines_R0,G0224,49.74,0.0407
857753,1500.0,Housing,El Salvador,Osicala,32.0,monthly,199.0,B0109,El Salvador_R0,G0027,281.91,0.0415
1096050,1250.0,Food,Cambodia,Kampong Chhnang Province,8.0,irregular,9.0,B0110,Cambodia_R3,G0189,84.31,0.045
1336268,850.0,Transportation,Uganda,Wakiso,14.0,monthly,222.0,B0111,Uganda_R0,G0011,296.19,0.04194285714285714
802258,700.0,Services,Colombia,Rionegro,21.0,bullet,177.0,B0112,Colombia_R0,G0291,47.13,0.04106666666666667
1156292,500.0,Services,Kenya,Githunguri,11.0,irregular,386.0,B0113,Kenya_R0,G0119,129.26,0.04145454545454545
814663,675.0,Clothing,Kenya,Limuru,14.0,monthly,388.0,B0114,Kenya_R2,G0233,232.94,0.041542857142857145
1257854,900.0,Education,Vietnam,Thanh Hoa City,14.0,monthly,121.0,B0115,Vietnam_R0,G0041,109.58,0.04205714285714286
1058428,500.0,Food,Haiti,Bon Repos,7.0,monthly,442.0,B0116,Haiti_R1,G0247,46.34,0.04228571428571429
1063795,450.0,Food,Philippines,"Hinigaran, Negros Occidental",8.0,irregular,145.0,B0117,Philippines_R1,G0196,38.89,0.041800000000000004
1138296,675.0,Housing,Guatemala,Suchitepéquez,14.0,monthly,246.0,B0118,Guatemala_R2,G0110,95.16,0.041542857142857145
1278328,950.0,Food,Tajikistan,Panjakent,14.0,monthly,100.0,B0119,Tajikistan_R0,G0248,76.3,0.04217142857142857
1210013,350.0,Clothing,Colombia,Sincelejo,13.0,bullet,177.0,B0120,Colombia_R3,G0025,90.18,0.04086153846153846
1280646,1050.0,Agriculture,Uganda,Kyotera,7.0,monthly,222.0,B0121,Uganda_R1,G0334,72.12,0.0448
1307915,400.0,Food,Colombia,Funza/Cundinamarca,15.0,monthly,154.0,B0122,Colombia_R2,G0287,81.13,0.04085333333333334
922383,200.0,Personal Use,Cambodia,Kompong Thom,8.0,monthly,311.0,B0123,Cambodia_R1,G0060,69.8,0.0408
910150,475.0,Agriculture,Uganda,Kasese,10.0,monthly,163.0,B0124,Uganda_R1,G0006,139.74,0.04152
819732,1875.0,Food,Tanzania,Dar es Salaam,11.0,irregular,87.0,B0125,Tanzania_R3,G0190,439.81,0.045454545454545456
955611,225.0,Food,Philippines,Roxas Palawan,7.0,irregular,145.0,B0126,Philippines_R1,G0136,31.92,0.04102857142857143
728033,500.0,Agriculture,Cambodia,"Battambang province, Thmor Koul district",14.0,monthly,204.0,B0127,Cambodia_R2,G0262,118.58,0.04114285714285715
1265176,275.0,Food,Sierra Leone,Port Loko,11.0,irregular,183.0,B0128,Sierra Leone_R2,G0003,57.23,0.0408
1220746,425.0,Housing,Indonesia,Tangerang,60.0,irregular,406.0,B0129,Indonesia_R0,G0141,75.58,0.04022666666666667
1206103,75.0,Personal Use,Tajikistan,Shahrituz,14.0,monthly,63.0,B0130,Tajikistan_R0,G0333,6.69,0.04017142857142857
783347,375.0,Retail,Philippines,"Minglanilla, Cebu",11.0,irregular,145.0,B0131,Philippines_R0,G0153,118.49,0.041090909090909095
877801,550.0,Education,Palestine,Tulkarem City,21.0,monthly,80.0,B0132,Palestine_R0,G0191,101.71,0.04083809523809524
1115697,1050.0,Agriculture,Armenia,Goris,30.0,monthly,169.0,B0133,Armenia_R3,G0213,113.81,0.041120000000000004
708232,375.0,Housing,Nicaragua,Managua,13.0,monthly,98.0,B0134,Nicaragua_R2,G0310,60.12,0.04092307692307692
1183196,200.0,Services,Kenya,Kisumu,15.0,irregular,386.0,B0135,Kenya_R2,G0026,34.85,0.040426666666666666
1118795,275.0,Food,Philippines,"Minglanilla, Cebu",8.0,irregular,145.0,B0136,Philippines_R0,G0158,82.02,0.0411
1176636,400.0,Food,Kenya,Kitale,14.0,irregular,386.0,B0137,Kenya_R3,G0191,108.03,0.040914285714285716
1228370,1625.0,Food,Kosovo,,20.0,monthly,240.0,B0138,Kosovo_R0,G0165,456.29,0.0426
1057956,325.0,Food,Philippines,Roxas Palawan,8.0,irregular,145.0,B0139,Philippines_R1,G0166,17.33,0.0413
1246502,3400.0,Clothing,Paraguay,Curuguaty,8.0,monthly,58.0,B0140,Paraguay_R3,G0138,594.48,0.05360000000000001
759971,475.0,Retail,Kenya,Kisumu,14.0,monthly,138.0,B0141,Kenya_R2,G0075,92.34,0.04108571428571429
951766,575.0,Education,Lebanon,,11.0,monthly,115.0,B0142,Lebanon_R0,G0150,32.06,0.04167272727272728
990454,925.0,Agriculture,Honduras,"Cofradia, Cortes",14.0,bullet,201.0,B0143,Honduras_R3,G0286,118.35,0.042114285714285715
1255962,300.0,Food,Nepal,Kumaripati,14.0,monthly,62.0,B0144,Nepal_R0,G0177,83.43,0.04068571428571428
1136614,225.0,Retail,Philippines,"Palo, Leyte",8.0,irregular,145.0,B0145,Philippines_R0,G0203,20.5,0.040900000000000006
1330625,350.0,Food,Kenya,KABARNET,14.0,monthly,133.0,B0146,Kenya_R2,G0283,73.71,0.0408
1021237,750.0,Agriculture,Lebanon,,11.0,monthly,115.0,B0147,Lebanon_R0,G0125,85.92,0.04218181818181818
1334834,300.0,Transportation,Philippines,"Salimpuno,Pana-on,Misamis Occidental",26.0,monthly,136.0,B0148,Philippines_R3,G0099,16.09,0.04036923076923077
1229626,200.0,Personal Use,Cambodia,Preah Vihear,8.0,monthly,311.0,B0149,Cambodia_R2,G0254,24.47,0.0408
1028459,200.0,Food,El Salvador,Ciudad El Triunfo,14.0,monthly,199.0,B0150,El Salvador_R1,G0281,68.55,0.04045714285714286
888726,800.0,Agriculture,Ecuador,San Gabriel,20.0,monthly,188.0,B0151,Ecuador_R1,G0277,232.37,0.04128
981643,1450.0,Food,Bolivia,La Paz,20.0,irregular,110.0,B0152,Bolivia_R0,G0275,489.92,0.042319999999999997
1185666,325.0,Education,Tajikistan,Isfara,14.0,monthly,100.0,B0153,Tajikistan_R2,G0244,63.82,0.04074285714285714
1124005,550.0,Clothing,Ecuador,Portoviejo,7.0,irregular,137.0,B0154,Ecuador_R0,G0260,45.61,0.04251428571428571
1202626,225.0,Food,Philippines,"Baybayog, Alcala, Cagayan",8.0,irregular,123.0,B0155,Philippines_R0,G0126,48.24,0.040900000000000006
719390,350.0,Agriculture,Philippines,Molave - Mahayag Zamboanga del Sur,3.0,irregular,126.0,B0156,Philippines_R0,G0146,65.21,0.04373333333333333
1200633,225.0,Food,Philippines,"Quezon, Palawan",8.0,irregular,145.0,B0157,Philippines_R0,G0266,68.24,0.040900000000000006
851438,250.0,Retail,Philippines,"Kalibo, Aklan",5.0,irregular,145.0,B0158,Philippines_R0,G0144,19.86,0.0416
1072384,225.0,Food,Philippines,"Concepcion, Iloilo",12.0,irregular,125.0,B0159,Philippines_R2,G0237,44.21,0.0406
763522,425.0,Services,Tajikistan,Kumsangir,14.0,monthly,100.0,B0160,Tajikistan_R1,G0274,40.38,0.040971428571428575
666140,175.0,Agriculture,Philippines,"Calamba, Misamis Occdental",8.0,irregular,136.0,B0161,Philippines_R1,G0319,25.8,0.0407
894382,1200.0,Manufacturing,Colombia,Medellín,27.0,bullet,177.0,B0162,Colombia_R2,G0049,325.45,0.04142222222222222
682562,600.0,Food,Kenya,Likoni,14.0,irregular,164.0,B0163,Kenya_R0,G0045,115.68,0.04137142857142857
1146533,300.0,Education,Rwanda,Kigali,36.0,monthly,441.0,B0164,Rwanda_R0,G0154,48.83,0.040266666666666666
1130113,3000.0,Agriculture,Armenia,"Vaghatin village, Sisian region",38.0,monthly,169.0,B0165,Armenia_R0,G0192,505.03,0.04252631578947369
828493,1350.0,Agriculture,Honduras,Santa Barbara,26.0,monthly,269.0,B0166,Honduras_R2,G0325,253.58,0.04166153846153846
900582,225.0,Services,Peru,Oyotún - Chiclayo,11.0,monthly,143.0,B0167,Peru_R0,G0162,64.24,0.04065454545454546
999096,625.0,Personal Use,Nicaragua,,14.0,irregular,279.0,B0168,Nicaragua_R0,G0055,198.52,0.041428571428571426
704869,375.0,Agriculture,Peru,Ayacucho,9.0,monthly,71.0,B0169,Peru_R0,G0220,126.23,0.04133333333333333
911393,625.0,Services,Bolivia,El Alto,8.0,monthly,48.0,B0170,Bolivia_R3,G0086,178.79,0.042499999999999996
960297,125.0,Transportation,Philippines,"Sindangan- Sindangan, Zamboanga del Norte",8.0,monthly,126.0,B0171,Philippines_R0,G0162,18.08,0.0405
672810,2200.0,Agriculture,Armenia,"Shaghap village, Ararat region",26.0,monthly,169.0,B0172,Armenia_R3,G0216,564.17,0.04270769230769231
969311,3375.0,Services,Guatemala,San Cristobal Totonicapan ,14.0,monthly,55.0,B0173,Guatemala_R0,G0034,611.82,0.047714285714285716
1278582,1150.0,Food,Colombia,Bogotà,20.0,monthly,154.0,B0174,Colombia_R1,G0120,145.36,0.04184
669149,425.0,Retail,Philippines,"Bogo, Cebu",14.0,irregular,145.0,B0175,Philippines_R3,G0060,128.46,0.040971428571428575
882339,1850.0,Retail,Vietnam,Thanh Hoá,14.0,monthly,121.0,B0176,Vietnam_R2,G0227,113.83,0.04422857142857143
1172565,975.0,Agriculture,Samoa,Savaia Lefaga,14.0,irregular,15.0,B0177,Samoa_R0,G0117,312.52,0.04222857142857143
1109131,325.0,Housing,Philippines,"Kalibo, Aklan",13.0,irregular,145.0,B0178,Philippines_R0,G0148,61.24,0.0408
781234,125.0,Clothing,Uganda,Kampala,6.0,irregular,112.0,B0179,Uganda_R2,G0128,30.15,0.04066666666666667
1146511,300.0,Education,Rwanda,Kigali,36.0,monthly,441.0,B0180,Rwanda_R0,G0264,74.34,0.040266666666666666
796152,1750.0,Agriculture,Kyrgyzstan,"Irilesh village, Batken region",14.0,monthly,171.0,B0181,Kyrgyzstan_R2,G0133,557.44,0.044
953363,50.0,Agriculture,Kenya,Mariakani,8.0,monthly,133.0,B0182,Kenya_R2,G0085,12.05,0.0402
853979,1725.0,Food,India,"M.Rampur, Kalahandi , Odisha",43.0,bullet,242.0,B0183,India_R1,G0191,403.96,0.041283720930232554
697142,550.0,Agriculture,El Salvador,San Miguel,15.0,bullet,199.0,B0184,El Salvador_R0,G0078,38.5,0.04117333333333333
675058,275.0,Housing,Nicaragua,Managua,18.0,irregular,74.0,B0185,Nicaragua_R2,G0057,56.52,0.040488888888888894
1044429,150.0,Food,Philippines,"Liloan, Cebu",8.0,irregular,145.0,B0186,Philippines_R2,G0285,14.26,0.0406
675512,225.0,Arts,Mali,Tingolé,5.0,monthly,78.0,B0187,Mali_R2,G0315,61.03,0.041440000000000005
943572,575.0,Education,Lebanon,,10.0,monthly,115.0,B0188,Lebanon_R0,G0036,117.11,0.04184
731786,1500.0,Agriculture,Ghana,,8.0,bullet,396.0,B0189,Ghana_R0,G0327,381.1,0.046
1062366,525.0,Arts,Colombia,Sahagun,18.0,bullet,177.0,B0190,Colombia_R0,G0263,32.81,0.040933333333333335
1241346,4800.0,Agriculture,Paraguay,Santaní,8.0,monthly,58.0,B0191,Paraguay_R0,G0231,362.1,0.0592
1147542,1425.0,Education,Jordan,Al Huson - Irbid,21.0,monthly,185.0,B0192,Jordan_R2,G0074,377.48,0.04217142857142857
1229615,175.0,Personal Use,Cambodia,Preah Vihear,8.0,monthly,311.0,B0193,Cambodia_R2,G0169,12.53,0.0407
1206749,525.0,Retail,Philippines,"Pulupandan, Negros Occidental",8.0,irregular,145.0,B0194,Philippines_R2,G0061,37.47,0.0421
675257,250.0,Manufacturing,Philippines,"Minglanilla, Cebu",8.0,irregular,145.0,B0195,Philippines_R0,G0145,13.41,0.041
692103,800.0,Services,Bolivia,La Paz,11.0,monthly,48.0,B0196,Bolivia_R0,G0037,269.56,0.04232727272727273
1263132,700.0,Agriculture,Colombia,Bolombolo,26.0,bullet,177.0,B0197,Colombia_R3,G0286,189.88,0.04086153846153846
1226845,425.0,Education,Jordan,Baqaa,15.0,monthly,185.0,B0198,Jordan_R3,G0071,66.29,0.04090666666666667
813495,450.0,Retail,Philippines,"Coron, Palawan",8.0,irregular,144.0,B0199,Philippines_R3,G0091,62.53,0.041800000000000004
937759,1000.0,Agriculture,El Salvador,Usulután,14.0,bullet,199.0,B0200,El Salvador_R2,G0310,154.91,0.04228571428571429
784042,950.0,Agriculture,Cambodia,"Battambang province, Moung Russey district",14.0,monthly,204.0,B0201,Cambodia_R0,G0319,268.28,0.04217142857142857
1063820,150.0,Housing,Philippines,"Pulupandan, Negros Occidental",14.0,irregular,145.0,B0202,Philippines_R2,G0288,37.26,0.04034285714285714
827615,4525.0,Food,Guatemala,"Santa Lucia La Reforma, Totonicapan",12.0,monthly,55.0,B0203,Guatemala_R2,G0046,477.65,0.052066666666666664
990630,425.0,Food,Philippines,"La Castellana, Negros Occidental",13.0,irregular,145.0,B0204,Philippines_R3,G0190,43.45,0.04104615384615384
1149693,300.0,Services,El Salvador,,8.0,monthly,167.0,B0205,El Salvador_R0,G0321,23.86,0.0412
960461,350.0,Agriculture,Philippines,"Minglanilla, Cebu",10.0,irregular,145.0,B0206,Philippines_R0,G0306,86.83,0.041120000000000004
693159,1250.0,Retail,El Salvador,,20.0,monthly,81.0,B0207,El Salvador_R0,G0278,349.14,0.041999999999999996
