borrower_id,t,group_id,region_id,individual_risk_score,neighbor_stress_fraction,regional_shock_index,predicted_reason,confidence,multi_hop_exposure_score,is_stressed
B0053,0,G0277,Tajikistan_R1,0.050305225,0.0,0,Healthy,,,0
B0054,0,G0118,Mali_R1,0.03447176,0.0,0,Healthy,,,0
B0055,0,G0181,El Salvador_R0,0.043900043,0.0,0,Healthy,,,0
B0056,0,G0002,Kenya_R2,0.048792765,0.0,0,Healthy,,,0
B0057,0,G0213,Philippines_R3,0.0544048,0.0,1,Healthy,,,0
B0058,0,G0107,Peru_R3,0.031087067,0.0,0,Healthy,,,0
B0059,0,G0048,India_R0,0.027751066,0.0,0,Healthy,,,0
B0060,0,G0187,Philippines_R3,0.098043926,0.0,1,Healthy,,,0
B0061,0,G0229,Kenya_R3,0.03391049,0.0,0,Healthy,,,0
B0062,0,G0202,Philippines_R2,0.062114634,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0063,0,G0035,India_R3,0.031038051,0.0,0,Healthy,,,0
B0064,0,G0314,Kenya_R0,0.04467798,0.0,0,Healthy,,,0
B0065,0,G0001,Colombia_R2,0.04752869,0.0,0,Healthy,,,0
B0066,0,G0177,Colombia_R2,0.065097764,0.0,0,Healthy,,,0
B0067,0,G0063,El Salvador_R2,0.031087067,0.0,0,Healthy,,,0
B0068,0,G0190,Turkey_R0,0.028637908,0.0,0,Healthy,,,0
B0069,0,G0013,Rwanda_R0,0.05416143,0.0,0,Healthy,,,0
B0070,0,G0008,Philippines_R3,0.05184655,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0071,0,G0070,Nicaragua_R2,0.04709988,0.0,0,Healthy,,,0
B0072,0,G0095,Philippines_R1,0.041517198,0.0,0,Healthy,,,0
B0073,0,G0049,Mexico_R0,0.048562948,0.0,0,Healthy,,,0
B0074,0,G0194,Philippines_R1,0.059630174,0.0,0,Healthy,,,0
B0075,0,G0227,Tajikistan_R0,0.056626614,0.0,0,Healthy,,,0
B0076,0,G0051,Tajikistan_R0,0.052590467,0.0,0,Healthy,,,0
B0077,0,G0181,Philippines_R1,0.029718762,0.0,0,Healthy,,,0
B0078,0,G0044,Ecuador_R3,0.041677147,0.0,0,Healthy,,,0
B0079,0,G0212,Philippines_R0,0.042051386,0.0,0,Healthy,,,0
B0080,0,G0191,Kyrgyzstan_R1,0.05649737,0.0,0,Healthy,,,0
B0081,0,G0111,Philippines_R2,0.08117175,0.0,1,Healthy,,,0
B0082,0,G0200,Paraguay_R1,0.05142478,0.0,0,Healthy,,,0
B0083,0,G0125,Kenya_R0,0.15094244,0.0,0,Healthy,,,0
B0084,0,G0111,Peru_R3,0.050856292,0.0,0,Healthy,,,0
B0085,0,G0178,Ghana_R0,0.039247584,0.0,0,Healthy,,,0
B0086,0,G0117,Indonesia_R0,0.040386554,0.0,0,Healthy,,,0
B0087,0,G0333,Armenia_R1,0.04538794,0.0,0,Healthy,,,0
B0088,0,G0153,El Salvador_R2,0.041120566,0.0,0,Healthy,,,0
B0089,0,G0234,Uganda_R3,0.042694964,0.0,0,Healthy,,,0
B0090,0,G0217,Togo_R3,0.046732508,0.0,0,Healthy,,,0
B0091,0,G0323,Guatemala_R3,0.032984298,0.0,0,Healthy,,,0
B0092,0,G0188,El Salvador_R1,0.10963154,0.0,0,Healthy,,,0
B0093,0,G0242,Peru_R3,0.0324773,0.0,0,Healthy,,,0
B0094,0,G0197,Georgia_R3,0.069778375,0.0,0,Healthy,,,0
B0095,0,G0303,El Salvador_R0,0.04234258,0.0,0,Healthy,,,0
B0096,0,G0146,Kenya_R2,0.03405156,0.0,0,Healthy,,,0
B0097,0,G0193,Nicaragua_R1,0.041735955,0.0,0,Healthy,,,0
B0098,0,G0308,Kenya_R2,0.051880065,0.0,0,Healthy,,,0
B0099,0,G0004,Philippines_R1,0.063447915,0.0,0,Healthy,,,0
B0100,0,G0038,Philippines_R2,0.04729311,0.0,1,Healthy,,,0
B0101,0,G0093,Guatemala_R0,0.030832548,0.0,1,Healthy,,,0
B0102,0,G0194,Philippines_R2,0.03391049,0.0,1,Healthy,,,0
B0103,0,G0276,Philippines_R0,0.027540829,0.0,0,Healthy,,,0
B0104,0,G0202,El Salvador_R0,0.0404484,0.0,0,Healthy,,,0
B0105,0,G0136,Philippines_R3,0.068357885,0.0,1,Healthy,,,0
B0106,0,G0184,Nicaragua_R0,0.05474533,0.0,0,Healthy,,,0
B0107,0,G0094,Palestine_R2,0.051856495,0.0,0,Healthy,,,0
B0108,0,G0224,Philippines_R0,0.09313106,0.0,0,Isolated Stress,,,1
B0109,0,G0027,El Salvador_R0,0.048634857,0.0,0,Healthy,,,0
B0110,0,G0189,Cambodia_R3,0.10532875,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0111,0,G0011,Uganda_R0,0.026247542,0.0,0,Healthy,,,0
B0112,0,G0291,Colombia_R0,0.038798593,0.0,0,Healthy,,,0
B0113,0,G0119,Kenya_R0,0.056589093,0.0,0,Healthy,,,0
B0114,0,G0233,Kenya_R2,0.030711921,0.0,0,Healthy,,,0
B0115,0,G0041,Vietnam_R0,0.054304447,0.0,0,Healthy,,,0
B0116,0,G0247,Haiti_R1,0.050509047,0.0,0,Healthy,,,0
B0117,0,G0196,Philippines_R1,0.059616018,0.0,0,Healthy,,,0
B0118,0,G0110,Guatemala_R2,0.0461768,0.0,0,Healthy,,,0
B0119,0,G0248,Tajikistan_R0,0.04663172,0.0,0,Healthy,,,0
B0120,0,G0025,Colombia_R3,0.038742714,0.0,0,Healthy,,,0
B0121,0,G0334,Uganda_R1,0.07353004,0.0,1,Healthy,,,0
B0122,0,G0287,Colombia_R2,0.04662369,0.0,0,Healthy,,,0
B0123,0,G0060,Cambodia_R1,0.07392418,0.0,0,Isolated Stress,,,1
B0124,0,G0006,Uganda_R1,0.042730086,0.0,1,Healthy,,,0
B0125,0,G0190,Tanzania_R3,0.03516173,0.0,0,Healthy,,,0
B0126,0,G0136,Philippines_R1,0.045673206,0.0,0,Healthy,,,0
B0127,0,G0262,Cambodia_R2,0.04882722,0.0,0,Healthy,,,0
B0128,0,G0003,Sierra Leone_R2,0.05686926,0.0,0,Healthy,,,0
B0129,0,G0141,Indonesia_R0,0.054896433,0.0,0,Healthy,,,0
B0130,0,G0333,Tajikistan_R0,0.049615346,0.0,0,Healthy,,,0
B0131,0,G0153,Philippines_R0,0.054298874,0.0,0,Healthy,,,0
B0132,0,G0191,Palestine_R0,0.047641836,0.0,0,Healthy,,,0
B0133,0,G0213,Armenia_R3,0.11987127,0.0,0,Healthy,,,0
B0134,0,G0310,Nicaragua_R2,0.039680284,0.0,0,Healthy,,,0
B0135,0,G0026,Kenya_R2,0.04234552,0.0,0,Healthy,,,0
B0136,0,G0158,Philippines_R0,0.06264562,0.0,0,Healthy,,,0
B0137,0,G0191,Kenya_R3,0.075742565,0.0,0,Healthy,,,0
B0138,0,G0165,Kosovo_R0,0.025926417,0.0,0,Healthy,,,0
B0139,0,G0166,Philippines_R1,0.060339376,0.0,0,Healthy,,,0
B0140,0,G0138,Paraguay_R3,0.03251562,0.0,0,Healthy,,,0
B0141,0,G0075,Kenya_R2,0.047256157,0.0,0,Healthy,,,0
B0142,0,G0150,Lebanon_R0,0.076604635,0.0,0,Healthy,,,0
B0143,0,G0286,Honduras_R3,0.0639722,0.0,0,Isolated Stress,,,1
B0144,0,G0177,Nepal_R0,0.049318112,0.0,0,Healthy,,,0
B0145,0,G0203,Philippines_R0,0.045219768,0.0,0,Healthy,,,0
B0146,0,G0283,Kenya_R2,0.039975066,0.0,0,Healthy,,,0
B0147,0,G0125,Lebanon_R0,0.06444787,0.0,0,Healthy,,,0
B0148,0,G0099,Philippines_R3,0.30390453,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0149,0,G0254,Cambodia_R2,0.054993488,0.0,0,Healthy,,,0
B0150,0,G0281,El Salvador_R1,0.06611378,0.0,0,Healthy,,,0
B0151,0,G0277,Ecuador_R1,0.03280471,0.0,0,Healthy,,,0
B0152,0,G0275,Bolivia_R0,0.03502621,0.0,0,Healthy,,,0
B0153,0,G0244,Tajikistan_R2,0.042372797,0.0,0,Healthy,,,0
B0154,0,G0260,Ecuador_R0,0.07573911,0.0,0,Healthy,,,0
B0155,0,G0126,Philippines_R0,0.060917735,0.0,0,Healthy,,,0
B0156,0,G0146,Philippines_R0,0.05236406,0.0,0,Healthy,,,0
B0157,0,G0266,Philippines_R0,0.06927632,0.0,0,Isolated Stress,,,1
B0158,0,G0144,Philippines_R0,0.017597761,0.0,0,Healthy,,,0
B0159,0,G0237,Philippines_R2,0.06495711,0.0,1,Healthy,,,0
B0160,0,G0274,Tajikistan_R1,0.056532063,0.0,0,Isolated Stress,,,1
B0161,0,G0319,Philippines_R1,0.04316209,0.0,0,Healthy,,,0
B0162,0,G0049,Colombia_R2,0.079517685,0.0,0,Isolated Stress,,,1
B0163,0,G0045,Kenya_R0,0.068191364,0.0,0,Healthy,,,0
B0164,0,G0154,Rwanda_R0,0.030715037,0.0,0,Healthy,,,0
B0165,0,G0192,Armenia_R0,0.018068988,0.0,0,Isolated Stress,,,1
B0166,0,G0325,Honduras_R2,0.040391,0.0,0,Healthy,,,0
B0167,0,G0162,Peru_R0,0.04487669,0.0,0,Healthy,,,0
B0168,0,G0055,Nicaragua_R0,0.03405156,0.0,0,Healthy,,,0
B0169,0,G0220,Peru_R0,0.060101487,0.0,0,Healthy,,,0
B0170,0,G0086,Bolivia_R3,0.0274225,0.0,0,Healthy,,,0
B0171,0,G0162,Philippines_R0,0.061431326,0.0,0,Healthy,,,0
B0172,0,G0216,Armenia_R3,0.052247204,0.0,0,Healthy,,,0
B0173,0,G0034,Guatemala_R0,0.029668236,0.0,1,Healthy,,,0
B0174,0,G0120,Colombia_R1,0.044007465,0.0,0,Healthy,,,0
B0175,0,G0060,Philippines_R3,0.10410423,0.0,1,Healthy,,,0
B0176,0,G0227,Vietnam_R2,0.055212148,0.0,0,Healthy,,,0
B0177,0,G0117,Samoa_R0,0.0295176,0.0,0,Healthy,,,0
B0178,0,G0148,Philippines_R0,0.05888845,0.0,0,Healthy,,,0
B0179,0,G0128,Uganda_R2,0.038072724,0.0,0,Healthy,,,0
B0180,0,G0264,Rwanda_R0,0.020830296,0.0,0,Healthy,,,0
B0181,0,G0133,Kyrgyzstan_R2,0.03589695,0.0,0,Healthy,,,0
B0182,0,G0085,Kenya_R2,0.038189534,0.0,0,Healthy,,,0
B0183,0,G0191,India_R1,0.08487722,0.0,0,Healthy,,,0
B0184,0,G0078,El Salvador_R0,0.05912599,0.0,0,Healthy,,,0
B0185,0,G0057,Nicaragua_R2,0.06705649,0.0,0,Healthy,,,0
B0186,0,G0285,Philippines_R2,0.029028919,0.0,1,Healthy,,,0
B0187,0,G0315,Mali_R2,0.07736601,0.0,0,Healthy,,,0
B0188,0,G0036,Lebanon_R0,0.06811369,0.0,0,Healthy,,,0
B0189,0,G0327,Ghana_R0,0.0404484,0.0,0,Healthy,,,0
B0190,0,G0263,Colombia_R0,0.057679586,0.0,0,Healthy,,,0
B0191,0,G0231,Paraguay_R0,0.0987143,0.0,0,Isolated Stress,,,1
B0192,0,G0074,Jordan_R2,0.04994756,0.0,0,Healthy,,,0
B0193,0,G0169,Cambodia_R2,0.032073904,0.0,0,Healthy,,,0
B0194,0,G0061,Philippines_R2,0.055514015,0.0,1,Healthy,,,0
B0195,0,G0145,Philippines_R0,0.034174643,0.0,0,Healthy,,,0
B0196,0,G0037,Bolivia_R0,0.030274404,0.0,0,Healthy,,,0
B0197,0,G0286,Colombia_R3,0.047453754,0.0,0,Healthy,,,0
B0198,0,G0071,Jordan_R3,0.046538334,0.0,0,Healthy,,,0
B0199,0,G0091,Philippines_R3,0.07696221,0.0,1,Healthy,,,0
B0200,0,G0310,El Salvador_R2,0.04167571,0.0,0,Healthy,,,0
B0201,0,G0319,Cambodia_R0,0.028689228,0.0,0,Healthy,,,0
B0202,0,G0288,Philippines_R2,0.14980204,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0203,0,G0046,Guatemala_R2,0.034687765,0.0,0,Healthy,,,0
B0204,0,G0190,Philippines_R3,0.0839275,0.0,1,Healthy,,,0
B0205,0,G0321,El Salvador_R0,0.058413927,0.0,0,Healthy,,,0
B0206,0,G0306,Philippines_R0,0.05094702,0.0,0,Healthy,,,0
B0207,0,G0278,El Salvador_R0,0.04633537,0.0,0,Healthy,,,0
B0208,0,G0107,Madagascar_R3,0.07495499,0.0,0,Isolated Stress,,,1
B0209,0,G0137,El Salvador_R0,0.042642478,0.0,0,Healthy,,,0
B0210,0,G0015,Pakistan_R0,0.09171506,0.0,0,Healthy,,,0
B0211,0,G0028,El Salvador_R0,0.024015324,0.0,0,Healthy,,,0
B0212,0,G0008,Philippines_R0,0.059527367,0.0,0,Healthy,,,0
B0213,0,G0184,Philippines_R1,0.061231315,0.0,0,Healthy,,,0
B0214,0,G0123,Mexico_R0,0.058404855,0.0,0,Healthy,,,0
B0215,0,G0143,Pakistan_R0,0.04779228,0.0,0,Healthy,,,0
B0216,0,G0315,Mali_R0,0.061104774,0.0,0,Healthy,,,0
B0217,0,G0241,Albania_R1,0.045517467,0.0,0,Healthy,,,0
B0218,0,G0047,Philippines_R2,0.055673838,0.0,1,Healthy,,,0
B0219,0,G0291,Tajikistan_R0,0.03707132,0.0,0,Healthy,,,0
B0220,0,G0039,Philippines_R3,0.09313106,0.0,1,Healthy,,,0
B0221,0,G0119,Philippines_R2,0.060917735,0.0,1,Healthy,,,0
B0222,0,G0172,Kenya_R1,0.04074134,0.0,0,Healthy,,,0
B0223,0,G0203,El Salvador_R0,0.027986908,0.0,0,Healthy,,,0
B0224,0,G0167,Philippines_R2,0.07424279,0.0,1,Healthy,,,0
B0225,0,G0269,Tajikistan_R2,0.04091393,0.0,0,Healthy,,,0
B0226,0,G0098,Cambodia_R3,0.035279155,0.0,1,Healthy,,,0
B0227,0,G0176,Liberia_R1,0.06731686,0.0,1,Healthy,,,0
B0228,0,G0172,Uganda_R2,0.060957342,0.0,0,Healthy,,,0
B0229,0,G0270,Philippines_R3,0.019521352,0.0,1,Healthy,,,0
B0230,0,G0311,Cambodia_R1,0.02126681,0.0,0,Healthy,,,0
B0231,0,G0033,El Salvador_R0,0.0545402,0.0,0,Healthy,,,0
B0232,0,G0186,Kenya_R3,0.04636412,0.0,0,Healthy,,,0
B0233,0,G0025,Indonesia_R0,0.05508313,0.0,0,Healthy,,,0
B0234,0,G0222,India_R0,0.020294879,0.0,0,Healthy,,,0
B0235,0,G0196,Peru_R0,0.05527796,0.0,0,Healthy,,,0
B0236,0,G0106,Uganda_R3,0.04937189,0.0,0,Healthy,,,0
B0237,0,G0035,Cambodia_R1,0.02495103,0.0,0,Healthy,,,0
B0238,0,G0184,Malawi_R3,0.048711494,0.0,0,Healthy,,,0
B0239,0,G0017,Philippines_R0,0.07229318,0.0,0,Healthy,,,0
B0240,0,G0068,Timor-Leste_R2,0.029308848,0.0,0,Healthy,,,0
B0241,0,G0324,Turkey_R0,0.05216024,0.0,0,Healthy,,,0
B0242,0,G0173,Pakistan_R0,0.07080196,0.0,0,Healthy,,,0
B0243,0,G0130,Philippines_R0,0.035634078,0.0,0,Healthy,,,0
B0244,0,G0079,Philippines_R0,0.052799463,0.0,0,Healthy,,,0
B0245,0,G0259,Paraguay_R1,0.038765796,0.0,0,Healthy,,,0
B0246,0,G0288,Philippines_R0,0.05622319,0.0,0,Healthy,,,0
B0247,0,G0008,Ecuador_R0,0.061487466,0.0,0,Healthy,,,0
B0248,0,G0192,Cambodia_R2,0.028293164,0.0,0,Healthy,,,0
B0249,0,G0197,Pakistan_R1,0.049318112,0.0,0,Healthy,,,0
B0250,0,G0081,Philippines_R1,0.073135674,0.0,0,Healthy,,,0
B0251,0,G0007,Philippines_R1,0.044260852,0.0,0,Healthy,,,0
B0252,0,G0330,Philippines_R0,0.10263436,0.0,0,Healthy,,,0
B0253,0,G0279,Paraguay_R2,0.048270136,0.0,0,Isolated Stress,,,1
B0254,0,G0006,India_R0,0.040866118,0.0,0,Healthy,,,0
B0255,0,G0205,Kenya_R2,0.040891647,0.0,0,Isolated Stress,,,1
B0256,0,G0017,Philippines_R0,0.04188781,0.0,0,Healthy,,,0
B0257,0,G0237,Honduras_R2,0.046271127,0.0,0,Healthy,,,0
B0258,0,G0164,Kenya_R3,0.050710417,0.0,0,Healthy,,,0
B0259,0,G0070,Ecuador_R3,0.04277479,0.0,0,Healthy,,,0
B0260,0,G0163,Rwanda_R0,0.032804932,0.0,0,Healthy,,,0
B0261,0,G0068,India_R1,0.06527955,0.0,0,Healthy,,,0
B0262,0,G0281,Samoa_R2,0.049887218,0.0,0,Healthy,,,0
B0263,0,G0252,Colombia_R0,0.07911145,0.0,0,Healthy,,,0
B0264,0,G0226,Zimbabwe_R1,0.054992426,0.0,0,Healthy,,,0
B0265,0,G0077,Philippines_R2,0.067067616,0.0,1,Healthy,,,0
B0266,0,G0062,Cambodia_R2,0.030067546,0.0,0,Healthy,,,0
B0267,0,G0196,Philippines_R1,0.0822466,0.0,0,Healthy,,,0
B0268,0,G0249,Honduras_R1,0.04272021,0.0,1,Healthy,,,0
B0269,0,G0318,The Democratic Republic of the Congo_R3,0.044723507,0.0,0,Healthy,,,0
B0270,0,G0032,Cambodia_R2,0.0712529,0.0,0,Healthy,,,0
B0271,0,G0078,Kenya_R1,0.04987214,0.0,0,Healthy,,,0
B0272,0,G0087,Ecuador_R1,0.045051686,0.0,0,Healthy,,,0
B0273,0,G0080,El Salvador_R2,0.053257637,0.0,0,Healthy,,,0
B0274,0,G0093,Sierra Leone_R1,0.047591966,0.0,0,Healthy,,,0
B0275,0,G0002,Philippines_R0,0.05949509,0.0,0,Healthy,,,0
B0276,0,G0330,Kenya_R3,0.03482633,0.0,0,Healthy,,,0
B0277,0,G0105,Mali_R1,0.04480665,0.0,0,Healthy,,,0
B0278,0,G0229,Philippines_R1,0.075630575,0.0,0,Healthy,,,0
B0279,0,G0287,Cambodia_R1,0.023119032,0.0,0,Healthy,,,0
B0280,0,G0188,Kenya_R0,0.04380256,0.0,0,Healthy,,,0
B0281,0,G0014,Peru_R0,0.052062303,0.0,0,Healthy,,,0
B0282,0,G0140,Philippines_R3,0.05332311,0.0,1,Healthy,,,0
B0283,0,G0269,Kenya_R2,0.06918043,0.0,0,Healthy,,,0
B0284,0,G0235,Philippines_R3,0.10196517,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0285,0,G0121,Rwanda_R0,0.04357641,0.0,0,Healthy,,,0
B0286,0,G0102,Philippines_R0,0.066610605,0.0,0,Healthy,,,0
B0287,0,G0113,Yemen_R2,0.05352246,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0288,0,G0311,Kenya_R3,0.04690087,0.0,0,Healthy,,,0
B0289,0,G0036,Kenya_R0,0.052386966,0.0,0,Healthy,,,0
B0290,0,G0155,Philippines_R1,0.062499657,0.0,0,Healthy,,,0
B0291,0,G0140,Kenya_R0,0.07364986,0.0,0,Healthy,,,0
B0292,0,G0086,The Democratic Republic of the Congo_R3,0.037668277,0.0,0,Healthy,,,0
B0293,0,G0287,Lebanon_R0,0.02938789,0.0,0,Healthy,,,0
B0294,0,G0152,Philippines_R2,0.056367192,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0295,0,G0317,Philippines_R0,0.0655044,0.0,0,Healthy,,,0
B0296,0,G0134,Guatemala_R0,0.048290875,0.0,1,Healthy,,,0
B0297,0,G0015,Philippines_R2,0.10042697,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0298,0,G0048,Kenya_R2,0.062373716,0.0,0,Healthy,,,0
B0299,0,G0168,Philippines_R0,0.19161965,0.0,0,Healthy,,,0
B0300,0,G0058,Myanmar (Burma)_R2,0.048969336,0.0,0,Healthy,,,0
B0301,0,G0264,Pakistan_R0,0.08276783,0.0,0,Healthy,,,0
B0302,0,G0182,Sierra Leone_R1,0.036790606,0.0,0,Healthy,,,0
B0303,0,G0055,Philippines_R2,0.065979205,0.0,1,Healthy,,,0
B0304,0,G0253,Philippines_R1,0.08326551,0.0,0,Healthy,,,0
B0305,0,G0042,El Salvador_R0,0.05536384,0.0,0,Healthy,,,0
B0306,0,G0024,Armenia_R3,0.041615244,0.0,0,Healthy,,,0
B0307,0,G0026,Kenya_R2,0.038282413,0.0,0,Healthy,,,0
B0308,0,G0132,Philippines_R1,0.0850854,0.0,0,Healthy,,,0
B0309,0,G0098,Philippines_R2,0.056367192,0.0,1,Healthy,,,0
B0310,0,G0082,Mozambique_R1,0.05614762,0.0,0,Healthy,,,0
B0311,0,G0097,El Salvador_R0,0.041677147,0.0,0,Healthy,,,0
B0312,0,G0131,Philippines_R0,0.094775714,0.0,0,Healthy,,,0
B0313,0,G0254,Pakistan_R0,0.093437076,0.0,0,Healthy,,,0
B0314,0,G0174,Kenya_R0,0.045077343,0.0,0,Healthy,,,0
B0315,0,G0324,India_R1,0.034484733,0.0,0,Healthy,,,0
B0316,0,G0050,Nigeria_R2,0.04759378,0.0,0,Healthy,,,0
B0317,0,G0295,Philippines_R1,0.08859736,0.0,0,Healthy,,,0
B0318,0,G0161,Philippines_R3,0.05094651,0.0,1,Healthy,,,0
B0319,0,G0165,Tajikistan_R2,0.038073633,0.0,0,Healthy,,,0
B0320,0,G0256,Pakistan_R0,0.030520793,0.0,0,Healthy,,,0
B0321,0,G0171,Philippines_R3,0.026339328,0.0,1,Healthy,,,0
B0322,0,G0062,Philippines_R3,0.08482449,0.0,1,Healthy,,,0
B0323,0,G0142,Kenya_R2,0.047556628,0.0,0,Healthy,,,0
B0324,0,G0012,Jordan_R0,0.030977633,0.0,0,Healthy,,,0
B0325,0,G0168,Kenya_R3,0.034956105,0.0,0,Healthy,,,0
B0326,0,G0123,Nicaragua_R2,0.04814539,0.0,0,Healthy,,,0
B0327,0,G0116,El Salvador_R0,0.0523242,0.0,0,Isolated Stress,,,1
B0328,0,G0160,Nigeria_R2,0.13265084,0.0,0,Healthy,,,0
B0329,0,G0112,Samoa_R1,0.073327586,0.0,0,Healthy,,,0
B0330,0,G0334,El Salvador_R0,0.04178267,0.0,0,Healthy,,,0
B0331,0,G0061,Philippines_R0,0.1131735,0.0,0,Healthy,,,0
B0332,0,G0071,Philippines_R3,0.06686457,0.0,1,Healthy,,,0
B0333,0,G0158,Liberia_R0,0.040988665,0.0,0,Isolated Stress,,,1
B0334,0,G0089,Madagascar_R2,0.059375763,0.0,0,Healthy,,,0
B0335,0,G0238,El Salvador_R1,0.051095195,0.0,0,Healthy,,,0
B0336,0,G0183,Burkina Faso_R2,0.058091052,0.0,0,Healthy,,,0
B0337,0,G0316,Kenya_R0,0.040756192,0.0,0,Healthy,,,0
B0338,0,G0219,Lebanon_R2,0.03458964,0.0,0,Healthy,,,0
B0339,0,G0076,Kenya_R0,0.04993755,0.0,0,Healthy,,,0
B0340,0,G0240,Mozambique_R1,0.049517788,0.0,0,Healthy,,,0
B0341,0,G0124,Philippines_R2,0.061542325,0.0,1,Healthy,,,0
B0342,0,G0057,Kosovo_R0,0.05909091,0.0,0,Healthy,,,0
B0343,0,G0332,El Salvador_R2,0.039984018,0.0,0,Healthy,,,0
B0344,0,G0040,Pakistan_R1,0.057707373,0.0,0,Healthy,,,0
B0345,0,G0281,Albania_R3,0.038073633,0.0,0,Healthy,,,0
